id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
1043691,"A_23_P253484",30648,"AADAT","aminoadipate aminotransferase",51166,"4","n/a","n/a"
1043692,"CUST_14815_PI416261804",30648,"AADAT","aminoadipate aminotransferase",51166,"4","n/a","n/a"
1022505,"A_23_P89460",26321,"AATF","apoptosis antagonizing transcription factor",26574,"17","n/a","n/a"
1022504,"A_24_P262395",26321,"AATF","apoptosis antagonizing transcription factor",26574,"17","n/a","n/a"
1022506,"CUST_51_PI416408490",26321,"AATF","apoptosis antagonizing transcription factor",26574,"17","n/a","n/a"
1026256,"A_23_P109643",56126,"ABTB1","ankyrin repeat and BTB (POZ) domain containing 1",80325,"3","n/a","n/a"
1026257,"A_24_P200297",56126,"ABTB1","ankyrin repeat and BTB (POZ) domain containing 1",80325,"3","n/a","n/a"
1045285,"A_23_P356616",25590,"ABTB2","ankyrin repeat and BTB (POZ) domain containing 2",25841,"11","n/a","n/a"
1045286,"CUST_6330_PI416261804",25590,"ABTB2","ankyrin repeat and BTB (POZ) domain containing 2",25841,"11","n/a","n/a"
1017291,"A_23_P24586",58878,"ACCS","1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)",84680,"11","n/a","n/a"
1012691,"CUST_13615_PI416261804",58878,"ACCS","1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)",84680,"11","n/a","n/a"
1029841,"CUST_872_PI416573500",123719,"ACCSL","1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like",390110,"11","n/a","n/a"
1029840,"CUST_901_PI416379584",123719,"ACCSL","1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like",390110,"11","n/a","n/a"
1036448,"A_23_P171237",60601,"ACRC","acidic repeat containing",93953,"X","n/a","n/a"
1036449,"CUST_9384_PI416261804",60601,"ACRC","acidic repeat containing",93953,"X","n/a","n/a"
1018128,"A_23_P155103",155,"ADSL","adenylosuccinate lyase",158,"22","n/a","n/a"
1012418,"CUST_13293_PI416261804",155,"ADSL","adenylosuccinate lyase",158,"22","n/a","n/a"
1020543,"A_23_P116913",78850,"AEBP2","AE binding protein 2",121536,"12","n/a","n/a"
1014435,"A_24_P18621",78850,"AEBP2","AE binding protein 2",121536,"12","n/a","n/a"
1035817,"A_32_P209104",78850,"AEBP2","AE binding protein 2",121536,"12","n/a","n/a"
1030070,"A_23_P165061",163,"AES","amino-terminal enhancer of split",166,"19","n/a","n/a"
1030071,"A_23_P341312",163,"AES","amino-terminal enhancer of split",166,"19","n/a","n/a"
1030072,"A_24_P416728",163,"AES","amino-terminal enhancer of split",166,"19","n/a","n/a"
1054133,"A_23_P169619",4274,"AFF1","AF4/FMR2 family, member 1",4299,"4","n/a","n/a"
1054132,"A_23_P29897",4274,"AFF1","AF4/FMR2 family, member 1",4299,"4","n/a","n/a"
1054130,"A_24_P414332",4274,"AFF1","AF4/FMR2 family, member 1",4299,"4","n/a","n/a"
1054131,"A_32_P104469",4274,"AFF1","AF4/FMR2 family, member 1",4299,"4","n/a","n/a"
1056907,"A_23_P217468",2318,"AFF2","AF4/FMR2 family, member 2",2334,"X","n/a","n/a"
1056908,"CUST_10375_PI416261804",2318,"AFF2","AF4/FMR2 family, member 2",2334,"X","n/a","n/a"
1030668,"A_24_P366670",3874,"AFF3","AF4/FMR2 family, member 3",3899,"2","n/a","n/a"
1044637,"A_23_P218977",26870,"AFF4","AF4/FMR2 family, member 4",27125,"5","n/a","n/a"
1044639,"A_24_P286079",26870,"AFF4","AF4/FMR2 family, member 4",27125,"5","n/a","n/a"
1044638,"A_24_P394408",26870,"AFF4","AF4/FMR2 family, member 4",27125,"5","n/a","n/a"
1044640,"A_24_P8318",26870,"AFF4","AF4/FMR2 family, member 4",27125,"5","n/a","n/a"
1044641,"A_24_P942636",26870,"AFF4","AF4/FMR2 family, member 4",27125,"5","n/a","n/a"
1045226,"A_23_P63584",25658,"AHCTF1","AT hook containing transcription factor 1",25909,"1","n/a","n/a"
1045228,"A_24_P28657",25658,"AHCTF1","AT hook containing transcription factor 1",25909,"1","n/a","n/a"
1045227,"A_32_P157228",25658,"AHCTF1","AT hook containing transcription factor 1",25909,"1","n/a","n/a"
1059302,"A_23_P215566",193,"AHR","aryl hydrocarbon receptor",196,"7","n/a","n/a"
1059303,"CUST_16863_PI416261804",193,"AHR","aryl hydrocarbon receptor",196,"7","n/a","n/a"
1048578,"A_32_P44394",9310,"AIM2","absent in melanoma 2",9447,"1","n/a","n/a"
1048579,"CUST_15753_PI416261804",9310,"AIM2","absent in melanoma 2",9447,"1","n/a","n/a"
1059164,"A_23_P68740",323,"AIRE","autoimmune regulator",326,"21","n/a","n/a"
1023213,"A_24_P254355",323,"AIRE","autoimmune regulator",326,"21","n/a","n/a"
1059165,"CUST_15610_PI416261804",323,"AIRE","autoimmune regulator",326,"21","n/a","n/a"
1029618,"A_23_P54055",59152,"AJUBA","ajuba LIM protein",84962,"14","n/a","n/a"
1029619,"CUST_12065_PI416261804",59152,"AJUBA","ajuba LIM protein",84962,"14","n/a","n/a"
1029620,"CUST_12069_PI416261804",59152,"AJUBA","ajuba LIM protein",84962,"14","n/a","n/a"
1049973,"A_23_P83798",8041,"ALX1","ALX homeobox 1",8092,"12","n/a","n/a"
1049974,"CUST_10175_PI416261804",8041,"ALX1","ALX homeobox 1",8092,"12","n/a","n/a"
1059235,"A_23_P85941",254,"ALX3","ALX homeobox 3",257,"1","n/a","n/a"
1059236,"CUST_8422_PI416261804",254,"ALX3","ALX homeobox 3",257,"1","n/a","n/a"
1040181,"A_23_P161792",37989,"ALX4","ALX homeobox 4",60529,"11","n/a","n/a"
1040182,"CUST_15266_PI416261804",37989,"ALX4","ALX homeobox 4",60529,"11","n/a","n/a"
1043316,"A_23_P27147",31009,"ANAPC11","anaphase promoting complex subunit 11",51529,"17","n/a","n/a"
1026377,"CUST_4131_PI416261804",31009,"ANAPC11","anaphase promoting complex subunit 11",51529,"17","n/a","n/a"
1026378,"CUST_4153_PI416261804",31009,"ANAPC11","anaphase promoting complex subunit 11",51529,"17","n/a","n/a"
1043317,"CUST_8265_PI416261804",31009,"ANAPC11","anaphase promoting complex subunit 11",51529,"17","n/a","n/a"
1043315,"CUST_8266_PI416261804",31009,"ANAPC11","anaphase promoting complex subunit 11",51529,"17","n/a","n/a"
1018744,"A_23_P355623",33758,"ANKIB1","ankyrin repeat and IBR domain containing 1",54467,"7","n/a","n/a"
1015107,"A_23_P93912",33758,"ANKIB1","ankyrin repeat and IBR domain containing 1",54467,"7","n/a","n/a"
1014597,"A_24_P18020",33758,"ANKIB1","ankyrin repeat and IBR domain containing 1",54467,"7","n/a","n/a"
1040403,"A_23_P159012",37035,"ANKRA2","ankyrin repeat, family A (RFXANK-like), 2",57763,"5","n/a","n/a"
1040405,"A_23_P41634",37035,"ANKRA2","ankyrin repeat, family A (RFXANK-like), 2",57763,"5","n/a","n/a"
1040404,"A_24_P337397",37035,"ANKRA2","ankyrin repeat, family A (RFXANK-like), 2",57763,"5","n/a","n/a"
1022507,"A_23_P134637",9763,"AP5Z1","adaptor-related protein complex 5, zeta 1 subunit",9907,"7","n/a","n/a"
1022508,"CUST_406_PI416261804",9763,"AP5Z1","adaptor-related protein complex 5, zeta 1 subunit",9907,"7","n/a","n/a"
1024428,"A_23_P113111",364,"AR","androgen receptor",367,"X","n/a","n/a"
1024429,"CUST_16755_PI416261804",364,"AR","androgen receptor",367,"X","n/a","n/a"
1059113,"CUST_85_PI416408490",364,"AR","androgen receptor",367,"X","n/a","n/a"
1057488,"A_23_P16516",1808,"ARID3A","AT rich interactive domain 3A (BRIGHT-like)",1820,"19","n/a","n/a"
1057489,"CUST_14431_PI416261804",1808,"ARID3A","AT rich interactive domain 3A (BRIGHT-like)",1820,"19","n/a","n/a"
1047164,"A_23_P88580",10473,"ARID3B","AT rich interactive domain 3B (BRIGHT-like)",10620,"15","n/a","n/a"
1047165,"CUST_8680_PI416261804",10473,"ARID3B","AT rich interactive domain 3B (BRIGHT-like)",10620,"15","n/a","n/a"
1028301,"CUST_211_PI416573500",79752,"ARID3C","AT rich interactive domain 3C (BRIGHT-like)",138715,"9","n/a","n/a"
1028300,"CUST_217_PI416379584",79752,"ARID3C","AT rich interactive domain 3C (BRIGHT-like)",138715,"9","n/a","n/a"
1023681,"A_23_P117515",5894,"ARID4A","AT rich interactive domain 4A (RBP1-like)",5926,"14","n/a","n/a"
1023680,"A_24_P330309",5894,"ARID4A","AT rich interactive domain 4A (RBP1-like)",5926,"14","n/a","n/a"
1027417,"A_23_P143016",10707,"ARID5A","AT rich interactive domain 5A (MRF1-like)",10865,"2","n/a","n/a"
1027418,"CUST_10229_PI416261804",10707,"ARID5A","AT rich interactive domain 5A (MRF1-like)",10865,"2","n/a","n/a"
1025045,"A_23_P97871",58370,"ARID5B","AT rich interactive domain 5B (MRF1-like)",84159,"10","n/a","n/a"
1025046,"A_24_P170667",58370,"ARID5B","AT rich interactive domain 5B (MRF1-like)",84159,"10","n/a","n/a"
1025044,"A_24_P944437",58370,"ARID5B","AT rich interactive domain 5B (MRF1-like)",84159,"10","n/a","n/a"
1025043,"A_32_P18440",58370,"ARID5B","AT rich interactive domain 5B (MRF1-like)",84159,"10","n/a","n/a"
1045316,"A_23_P205855",25569,"ARIH1","ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)",25820,"15","n/a","n/a"
1045314,"A_23_P401014",25569,"ARIH1","ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)",25820,"15","n/a","n/a"
1045315,"A_24_P85478",25569,"ARIH1","ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)",25820,"15","n/a","n/a"
1047427,"A_23_P61881",10278,"ARIH2","ariadne homolog 2 (Drosophila)",10425,"3","n/a","n/a"
1047426,"A_24_P94651",10278,"ARIH2","ariadne homolog 2 (Drosophila)",10425,"3","n/a","n/a"
1047428,"A_32_P26000",10278,"ARIH2","ariadne homolog 2 (Drosophila)",10425,"3","n/a","n/a"
1024269,"A_23_P550",402,"ARNT","aryl hydrocarbon receptor nuclear translocator",405,"1","n/a","n/a"
1024268,"A_24_P391568",402,"ARNT","aryl hydrocarbon receptor nuclear translocator",405,"1","n/a","n/a"
1048034,"A_23_P83579",9771,"ARNT2","aryl-hydrocarbon receptor nuclear translocator 2",9915,"15","n/a","n/a"
1048035,"CUST_7028_PI416261804",9771,"ARNT2","aryl-hydrocarbon receptor nuclear translocator 2",9915,"15","n/a","n/a"
1023142,"A_23_P162037",403,"ARNTL","aryl hydrocarbon receptor nuclear translocator-like",406,"11","n/a","n/a"
1023143,"CUST_14423_PI416261804",403,"ARNTL","aryl hydrocarbon receptor nuclear translocator-like",406,"11","n/a","n/a"
1041080,"A_23_P53345",36217,"ARNTL2","aryl hydrocarbon receptor nuclear translocator-like 2",56938,"12","n/a","n/a"
1041081,"CUST_7596_PI416261804",36217,"ARNTL2","aryl hydrocarbon receptor nuclear translocator-like 2",56938,"12","n/a","n/a"
1041082,"CUST_90_PI416408490",36217,"ARNTL2","aryl hydrocarbon receptor nuclear translocator-like 2",56938,"12","n/a","n/a"
1033731,"A_23_P306223",81766,"ARX","aristaless related homeobox",170302,"X","n/a","n/a"
1033732,"A_32_P109666",81766,"ARX","aristaless related homeobox",170302,"X","n/a","n/a"
1059039,"A_23_P25305",426,"ASCL1","achaete-scute complex homolog 1 (Drosophila)",429,"12","n/a","n/a"
1059040,"CUST_13870_PI416261804",426,"ASCL1","achaete-scute complex homolog 1 (Drosophila)",429,"12","n/a","n/a"
1059038,"A_23_P105088",427,"ASCL2","achaete-scute complex homolog 2 (Drosophila)",430,"11","n/a","n/a"
1059037,"A_32_P171061",427,"ASCL2","achaete-scute complex homolog 2 (Drosophila)",430,"11","n/a","n/a"
1041178,"A_23_P2083",35955,"ASCL3","achaete-scute complex homolog 3 (Drosophila)",56676,"11","n/a","n/a"
1041179,"CUST_43_PI416383280",35955,"ASCL3","achaete-scute complex homolog 3 (Drosophila)",56676,"11","n/a","n/a"
1035816,"CUST_737_PI416573500",78851,"ASCL4","achaete-scute complex homolog 4 (Drosophila)",121549,"12","n/a","n/a"
1035815,"CUST_763_PI416379584",78851,"ASCL4","achaete-scute complex homolog 4 (Drosophila)",121549,"12","n/a","n/a"
1059015,"A_23_P105646",463,"ATF1","activating transcription factor 1",466,"12","n/a","n/a"
1059016,"CUST_9009_PI416261804",463,"ATF1","activating transcription factor 1",466,"12","n/a","n/a"
1057973,"A_24_P128145",1377,"ATF2","activating transcription factor 2",1386,"2","n/a","n/a"
1057972,"A_24_P246467",1377,"ATF2","activating transcription factor 2",1386,"2","n/a","n/a"
1059012,"A_23_P34915",464,"ATF3","activating transcription factor 3",467,"1","n/a","n/a"
1059013,"A_24_P33895",464,"ATF3","activating transcription factor 3",467,"1","n/a","n/a"
1059014,"A_32_P108567",464,"ATF3","activating transcription factor 3",467,"1","n/a","n/a"
1030978,"A_23_P120933",465,"ATF4","activating transcription factor 4 (tax-responsive enhancer element B67)",468,"22","n/a","n/a"
1030980,"A_23_P120941",465,"ATF4","activating transcription factor 4 (tax-responsive enhancer element B67)",468,"22","n/a","n/a"
1030981,"A_24_P307065",465,"ATF4","activating transcription factor 4 (tax-responsive enhancer element B67)",468,"22","n/a","n/a"
1030979,"A_32_P187851",465,"ATF4","activating transcription factor 4 (tax-responsive enhancer element B67)",468,"22","n/a","n/a"
