id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
1022505,"A_23_P89460",26321,"AATF","apoptosis antagonizing transcription factor",26574,"17","n/a","n/a"
1022504,"A_24_P262395",26321,"AATF","apoptosis antagonizing transcription factor",26574,"17","n/a","n/a"
1022506,"CUST_51_PI416408490",26321,"AATF","apoptosis antagonizing transcription factor",26574,"17","n/a","n/a"
1059279,"A_23_P148556",212,"ABCD1","ATP-binding cassette, sub-family D (ALD), member 1",215,"X","n/a","n/a"
1059280,"CUST_15693_PI416261804",212,"ABCD1","ATP-binding cassette, sub-family D (ALD), member 1",215,"X","n/a","n/a"
1022702,"A_24_P60845",40,"ACHE","acetylcholinesterase",43,"7","n/a","n/a"
1059366,"A_23_P109436",132,"ADORA2A","adenosine A2a receptor",135,"22","n/a","n/a"
1059367,"A_24_P237270",132,"ADORA2A","adenosine A2a receptor",135,"22","n/a","n/a"
1025469,"A_23_P343411",119616,"AGRN","agrin",375790,"1","n/a","n/a"
1025470,"A_24_P24819",119616,"AGRN","agrin",375790,"1","n/a","n/a"
1025471,"A_24_P358462",119616,"AGRN","agrin",375790,"1","n/a","n/a"
1025472,"CUST_72_PI416408490",119616,"AGRN","agrin",375790,"1","n/a","n/a"
1026870,"A_23_P27983",330,"APLP1","amyloid beta (A4) precursor-like protein 1",333,"19","n/a","n/a"
1026871,"CUST_16330_PI416261804",330,"APLP1","amyloid beta (A4) precursor-like protein 1",333,"19","n/a","n/a"
1011060,"A_23_P202939",331,"APLP2","amyloid beta (A4) precursor-like protein 2",334,"11","n/a","n/a"
1014250,"A_24_P300952",331,"APLP2","amyloid beta (A4) precursor-like protein 2",334,"11","n/a","n/a"
1019288,"CUST_81_PI416408490",331,"APLP2","amyloid beta (A4) precursor-like protein 2",334,"11","n/a","n/a"
1059145,"A_23_P4649",338,"APOC1","apolipoprotein C-I",341,"19","n/a","n/a"
1059144,"A_24_P109214",338,"APOC1","apolipoprotein C-I",341,"19","n/a","n/a"
1059146,"CUST_82_PI416408490",338,"APOC1","apolipoprotein C-I",341,"19","n/a","n/a"
1030758,"A_23_P150207",569,"BAD","BCL2-associated agonist of cell death",572,"11","n/a","n/a"
1030759,"CUST_106_PI416408490",569,"BAD","BCL2-associated agonist of cell death",572,"11","n/a","n/a"
1030760,"CUST_9995_PI416261804",569,"BAD","BCL2-associated agonist of cell death",572,"11","n/a","n/a"
1029740,"A_23_P208706",578,"BAX","BCL2-associated X protein",581,"19","n/a","n/a"
1058887,"A_23_P346309",578,"BAX","BCL2-associated X protein",581,"19","n/a","n/a"
1058885,"A_23_P346311",578,"BAX","BCL2-associated X protein",581,"19","n/a","n/a"
1058886,"CUST_107_PI416408490",578,"BAX","BCL2-associated X protein",581,"19","n/a","n/a"
1058884,"CUST_16819_PI416261804",578,"BAX","BCL2-associated X protein",581,"19","n/a","n/a"
1058870,"A_23_P212050",587,"BCHE","butyrylcholinesterase",590,"3","n/a","n/a"
1058872,"CUST_109_PI416408490",587,"BCHE","butyrylcholinesterase",590,"3","n/a","n/a"
1058871,"CUST_15179_PI416261804",587,"BCHE","butyrylcholinesterase",590,"3","n/a","n/a"
1027570,"A_23_P352266",593,"BCL2","B-cell CLL/lymphoma 2",596,"18","n/a","n/a"
1027571,"CUST_110_PI416408490",593,"BCL2","B-cell CLL/lymphoma 2",596,"18","n/a","n/a"
1027542,"CUST_1388_PI416573500",593,"BCL2","B-cell CLL/lymphoma 2",596,"18","n/a","n/a"
1027541,"CUST_16900_PI416261804",593,"BCL2","B-cell CLL/lymphoma 2",596,"18","n/a","n/a"
1030940,"A_23_P210886",595,"BCL2L1","BCL2-like 1",598,"20","n/a","n/a"
1030942,"A_24_P100130",595,"BCL2L1","BCL2-like 1",598,"20","n/a","n/a"
1020500,"A_23_P127891",624,"BDNF","brain-derived neurotrophic factor",627,"11","n/a","n/a"
1011968,"A_32_P7316",624,"BDNF","brain-derived neurotrophic factor",627,"11","n/a","n/a"
1022678,"A_23_P29735",8848,"BSN","bassoon (presynaptic cytomatrix protein)",8927,"3","n/a","n/a"
1022680,"CUST_115_PI416408490",8848,"BSN","bassoon (presynaptic cytomatrix protein)",8927,"3","n/a","n/a"
1022679,"CUST_15628_PI416261804",8848,"BSN","bassoon (presynaptic cytomatrix protein)",8927,"3","n/a","n/a"
1026236,"A_23_P202978",830,"CASP1","caspase 1, apoptosis-related cysteine peptidase",834,"11","n/a","n/a"
1026238,"CUST_16232_PI416261804",830,"CASP1","caspase 1, apoptosis-related cysteine peptidase",834,"11","n/a","n/a"
1026239,"CUST_16246_PI416261804",830,"CASP1","caspase 1, apoptosis-related cysteine peptidase",834,"11","n/a","n/a"
1026237,"CUST_16250_PI416261804",830,"CASP1","caspase 1, apoptosis-related cysteine peptidase",834,"11","n/a","n/a"
1026298,"CUST_49_PI416383280",830,"CASP1","caspase 1, apoptosis-related cysteine peptidase",834,"11","n/a","n/a"
1027666,"A_23_P92410",832,"CASP3","caspase 3, apoptosis-related cysteine peptidase",836,"4","n/a","n/a"
1027667,"CUST_143_PI416408490",832,"CASP3","caspase 3, apoptosis-related cysteine peptidase",836,"4","n/a","n/a"
1027668,"CUST_17107_PI416261804",832,"CASP3","caspase 3, apoptosis-related cysteine peptidase",836,"4","n/a","n/a"
1024350,"A_23_P12572",836,"CASP7","caspase 7, apoptosis-related cysteine peptidase",840,"10","n/a","n/a"
1024351,"CUST_144_PI416408490",836,"CASP7","caspase 7, apoptosis-related cysteine peptidase",840,"10","n/a","n/a"
1024352,"CUST_15259_PI416261804",836,"CASP7","caspase 7, apoptosis-related cysteine peptidase",840,"10","n/a","n/a"
1012713,"A_23_P209389",837,"CASP8","caspase 8, apoptosis-related cysteine peptidase",841,"2","n/a","n/a"
1020061,"A_24_P148499",837,"CASP8","caspase 8, apoptosis-related cysteine peptidase",841,"2","n/a","n/a"
1011882,"A_24_P157087",837,"CASP8","caspase 8, apoptosis-related cysteine peptidase",841,"2","n/a","n/a"
1014484,"CUST_16314_PI416261804",837,"CASP8","caspase 8, apoptosis-related cysteine peptidase",841,"2","n/a","n/a"
1058367,"A_23_P8400",1015,"CDK5","cyclin-dependent kinase 5",1020,"7","n/a","n/a"
1058368,"CUST_15042_PI416261804",1015,"CDK5","cyclin-dependent kinase 5",1020,"7","n/a","n/a"
1049231,"A_23_P141467",8774,"CDK5R1","cyclin-dependent kinase 5, regulatory subunit 1 (p35)",8851,"17","n/a","n/a"
1049232,"CUST_360_PI417507815",8774,"CDK5R1","cyclin-dependent kinase 5, regulatory subunit 1 (p35)",8851,"17","n/a","n/a"
1049140,"A_23_P79323",8862,"CDK5R2","cyclin-dependent kinase 5, regulatory subunit 2 (p39)",8941,"2","n/a","n/a"
1049139,"A_24_P51683",8862,"CDK5R2","cyclin-dependent kinase 5, regulatory subunit 2 (p39)",8941,"2","n/a","n/a"
1022067,"A_23_P163390",1131,"CHRNA7","cholinergic receptor, nicotinic, alpha 7 (neuronal)",1139,"15","n/a","n/a"
1022068,"CUST_15465_PI416261804",1131,"CHRNA7","cholinergic receptor, nicotinic, alpha 7 (neuronal)",1139,"15","n/a","n/a"
1022069,"CUST_681_PI416408490",1131,"CHRNA7","cholinergic receptor, nicotinic, alpha 7 (neuronal)",1139,"15","n/a","n/a"
1022066,"CUST_9_PI416558205",1131,"CHRNA7","cholinergic receptor, nicotinic, alpha 7 (neuronal)",1139,"15","n/a","n/a"
1023593,"CUST_8506_PI416261804",1442,"CSNK1D","casein kinase 1, delta",1453,"17","n/a","n/a"
1030216,"A_23_P215944",1497,"CTSB","cathepsin B",1508,"8","n/a","n/a"
1030217,"A_24_P303770",1497,"CTSB","cathepsin B",1508,"8","n/a","n/a"
1030215,"A_24_P397928",1497,"CTSB","cathepsin B",1508,"8","n/a","n/a"
1011598,"A_23_P309739",2084,"ESR1","estrogen receptor 1",2099,"6","n/a","n/a"
1015397,"A_24_P325215",2084,"ESR1","estrogen receptor 1",2099,"6","n/a","n/a"
1015390,"A_24_P383478",2084,"ESR1","estrogen receptor 1",2099,"6","n/a","n/a"
1020672,"CUST_255_PI416408490",2084,"ESR1","estrogen receptor 1",2099,"6","n/a","n/a"
1025549,"A_23_P88033",2244,"FGF14","fibroblast growth factor 14",2259,"13","n/a","n/a"
1025550,"CUST_5071_PI416261804",2244,"FGF14","fibroblast growth factor 14",2259,"13","n/a","n/a"
1025551,"CUST_5862_PI416261804",2244,"FGF14","fibroblast growth factor 14",2259,"13","n/a","n/a"
1057009,"A_23_P155857",2232,"FGF2","fibroblast growth factor 2 (basic)",2247,"4","n/a","n/a"
1057008,"A_23_P218918",2232,"FGF2","fibroblast growth factor 2 (basic)",2247,"4","n/a","n/a"
1011285,"A_23_P253446",2580,"GAP43","growth associated protein 43",2596,"3","n/a","n/a"
1018164,"CUST_282_PI416408490",2580,"GAP43","growth associated protein 43",2596,"3","n/a","n/a"
1017947,"CUST_7097_PI416261804",2580,"GAP43","growth associated protein 43",2596,"3","n/a","n/a"
