id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
1029410,"A_23_P116898",3,"A2M","alpha-2-macroglobulin",2,"12","n/a","n/a"
1029411,"CUST_13981_PI416261804",3,"A2M","alpha-2-macroglobulin",2,"12","n/a","n/a"
1029412,"CUST_50_PI416408490",3,"A2M","alpha-2-macroglobulin",2,"12","n/a","n/a"
1029413,"CUST_6_PI416558205",3,"A2M","alpha-2-macroglobulin",2,"12","n/a","n/a"
1067494,"A_23_P371777",1624,"ACE","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1",1636,"17","n/a","n/a"
1057703,"A_23_P38235",1624,"ACE","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1",1636,"17","n/a","n/a"
1057704,"CUST_16698_PI416261804",1624,"ACE","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1",1636,"17","n/a","n/a"
1057705,"CUST_55_PI416408490",1624,"ACE","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1",1636,"17","n/a","n/a"
1059175,"A_23_P216806",317,"APBA1","amyloid beta (A4) precursor protein-binding, family A, member 1",320,"9","n/a","n/a"
1059173,"A_32_P24857",317,"APBA1","amyloid beta (A4) precursor protein-binding, family A, member 1",320,"9","n/a","n/a"
1059174,"CUST_79_PI416408490",317,"APBA1","amyloid beta (A4) precursor protein-binding, family A, member 1",320,"9","n/a","n/a"
1059168,"A_23_P10701",320,"APBB2","amyloid beta (A4) precursor protein-binding, family B, member 2",323,"4","n/a","n/a"
1059170,"A_24_P234701",320,"APBB2","amyloid beta (A4) precursor protein-binding, family B, member 2",323,"4","n/a","n/a"
1059169,"CUST_80_PI416408490",320,"APBB2","amyloid beta (A4) precursor protein-binding, family B, member 2",323,"4","n/a","n/a"
1029276,"A_24_P314159",348,"APP","amyloid beta (A4) precursor protein",351,"21","n/a","n/a"
1029275,"A_32_P167000",348,"APP","amyloid beta (A4) precursor protein",351,"21","n/a","n/a"
1029277,"CUST_84_PI416408490",348,"APP","amyloid beta (A4) precursor protein",351,"21","n/a","n/a"
1045311,"A_23_P154875",25574,"BACE2","beta-site APP-cleaving enzyme 2",25825,"21","n/a","n/a"
1045310,"A_24_P14584",25574,"BACE2","beta-site APP-cleaving enzyme 2",25825,"21","n/a","n/a"
1045312,"CUST_105_PI416408490",25574,"BACE2","beta-site APP-cleaving enzyme 2",25825,"21","n/a","n/a"
1058820,"A_23_P141606",639,"BLMH","bleomycin hydrolase",642,"17","n/a","n/a"
1058821,"A_23_P310911",639,"BLMH","bleomycin hydrolase",642,"17","n/a","n/a"
1058822,"CUST_113_PI416408490",639,"BLMH","bleomycin hydrolase",642,"17","n/a","n/a"
1024749,"A_23_P156284",1615,"DBN1","drebrin 1",1627,"5","n/a","n/a"
1024750,"A_24_P97849",1615,"DBN1","drebrin 1",1627,"5","n/a","n/a"
1026863,"A_24_P236935",5621,"KLK6","kallikrein-related peptidase 6",5653,"19","n/a","n/a"
1026866,"CUST_14172_PI416261804",5621,"KLK6","kallikrein-related peptidase 6",5653,"19","n/a","n/a"
1026865,"CUST_9835_PI416261804",5621,"KLK6","kallikrein-related peptidase 6",5653,"19","n/a","n/a"
1026864,"CUST_9837_PI416261804",5621,"KLK6","kallikrein-related peptidase 6",5653,"19","n/a","n/a"
1010878,"A_23_P24104",5296,"PLAU","plasminogen activator, urokinase",5328,"10","n/a","n/a"
1019317,"CUST_16756_PI416261804",5296,"PLAU","plasminogen activator, urokinase",5328,"10","n/a","n/a"
1014367,"CUST_16760_PI416261804",5296,"PLAU","plasminogen activator, urokinase",5328,"10","n/a","n/a"
1012593,"CUST_512_PI416408490",5296,"PLAU","plasminogen activator, urokinase",5328,"10","n/a","n/a"
1052589,"A_23_P205686",5631,"PSEN1","presenilin 1",5663,"14","n/a","n/a"
1052590,"A_23_P340728",5631,"PSEN1","presenilin 1",5663,"14","n/a","n/a"
1025452,"A_23_P103398",5632,"PSEN2","presenilin 2 (Alzheimer disease 4)",5664,"1","n/a","n/a"
1025456,"A_23_P96985",5632,"PSEN2","presenilin 2 (Alzheimer disease 4)",5664,"1","n/a","n/a"
1025453,"A_24_P62521",5632,"PSEN2","presenilin 2 (Alzheimer disease 4)",5664,"1","n/a","n/a"
1025455,"CUST_16_PI416558187",5632,"PSEN2","presenilin 2 (Alzheimer disease 4)",5664,"1","n/a","n/a"
1025454,"CUST_526_PI416408490",5632,"PSEN2","presenilin 2 (Alzheimer disease 4)",5664,"1","n/a","n/a"
